NO_OF_SAMPLES	3190
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:04:29	16106.19054153
FIRST_SAMPLE	1671
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
0.020294	0.028534	0.001678	0.009918	-0.005035	0.010224	-0.394751	-2.121462	3.252460	-0.401160	2.629587	1.367666	-0.037690	0.083467	0.040742	-0.069123	-0.005646	0.001373	0.017243	0.022736	0.010834	0.016022	0.006561	0.011139	-3.058671	1.981689	1.757382	1.701839	1.595941	1.521477	0.001068	-0.015106	0.186313	0.177768	0.182040	0.113375	0.195163	0.178988	0.179599	0.052033	
0.012970	0.023651	0.000153	0.012665	-0.002594	0.008087	-0.395666	-2.128786	3.250629	-0.400854	2.630198	1.357900	-0.033112	0.087129	0.064240	-0.083162	0.001678	0.013886	0.016022	0.023346	0.014191	0.016632	0.005035	0.007477	-3.222248	1.981384	1.744869	1.684749	1.573053	1.494926	0.000458	-0.016327	0.181430	0.172580	0.177462	0.110323	0.189670	0.174411	0.174411	0.047150	
0.006256	0.021210	0.001984	0.013581	-0.004120	0.010529	-0.392004	-2.129396	3.251850	-0.400244	2.629892	1.360647	-0.023957	0.073701	0.066987	-0.090181	-0.010529	0.004425	0.017243	0.020905	0.013886	0.019074	0.005646	0.010529	-3.304952	1.982605	1.738766	1.676204	1.560235	1.478141	0.001068	-0.018463	0.176547	0.168307	0.173190	0.104829	0.184176	0.170138	0.170748	0.041962	
0.004730	0.024872	-0.000458	0.009308	-0.005341	0.009003	-0.399939	-2.133364	3.251545	-0.399023	2.629587	1.360952	-0.047761	0.088655	0.070039	-0.106355	-0.014801	-0.015106	0.022736	0.020294	0.006867	0.022431	0.005035	0.005035	-3.302815	1.981384	1.739681	1.676204	1.557793	1.474174	0.001984	-0.022126	0.172580	0.165255	0.168917	0.100862	0.180514	0.165866	0.165560	0.037079	
0.012665	0.027314	0.004425	0.007172	-0.005035	0.011749	-0.394141	-2.140383	3.252460	-0.399023	2.629892	1.367971	-0.048066	0.124666	0.093233	-0.121004	-0.006867	-0.013581	0.023957	0.019379	0.010529	0.017243	0.005341	0.006561	-3.247578	1.981689	1.741817	1.678340	1.561761	1.478447	0.001373	-0.023041	0.171054	0.163119	0.166171	0.097810	0.177157	0.162203	0.161288	0.034333	
0.017853	0.024567	0.004730	0.006256	-0.003510	0.011444	-0.391089	-2.141604	3.251545	-0.399329	2.628672	1.373770	-0.062104	0.133516	0.081331	-0.135653	-0.016632	0.001373	0.018158	0.016632	0.008392	0.015412	0.005035	0.010529	-3.242390	1.980468	1.741817	1.679866	1.563287	1.479972	0.001984	-0.024262	0.169528	0.161898	0.164340	0.095674	0.175021	0.160372	0.158846	0.030365	
0.018463	0.021515	0.003204	0.005035	-0.002899	0.010529	-0.398718	-2.144350	3.250324	-0.402075	2.628061	1.364309	-0.081941	0.128023	0.095064	-0.146639	-0.016327	-0.009613	0.014496	0.015412	0.010224	0.015106	0.004730	0.007782	-3.350423	1.981079	1.736324	1.671016	1.553826	1.469596	0.000763	-0.024872	0.166781	0.157626	0.162509	0.093233	0.172580	0.156405	0.154269	0.027924	
0.017243	0.020905	0.002289	0.007172	-0.004120	0.005341	-0.393530	-2.155337	3.251545	-0.399023	2.628672	1.363699	-0.073701	0.125582	0.110323	-0.154269	-0.022431	-0.038911	0.012360	0.015412	0.010224	0.017853	0.004120	0.011444	-3.578088	1.982910	1.719844	1.651484	1.529717	1.442435	0.001678	-0.027619	0.161288	0.153658	0.157626	0.089265	0.168612	0.153353	0.152132	0.024262	
0.016022	0.018463	0.001984	0.005646	-0.003815	0.008698	-0.392615	-2.157168	3.250019	-0.398413	2.628672	1.376822	-0.079805	0.132906	0.102083	-0.159762	-0.023651	-0.044404	0.014496	0.019379	0.008087	0.014496	0.003510	0.010224	-3.898222	1.985046	1.696956	1.621881	1.493400	1.401236	0.001068	-0.029755	0.152438	0.145418	0.150301	0.082551	0.155795	0.142367	0.135042	0.011749	
0.010834	0.020905	0.001678	0.005951	-0.004425	0.011139	-0.399329	-2.160525	3.247883	-0.397192	2.628366	1.373159	-0.091402	0.132906	0.111849	-0.162509	-0.018463	-0.037690	0.018769	0.020294	0.006256	0.019989	0.005035	0.008087	-4.254368	1.987488	1.673457	1.587701	1.451286	1.351492	0.001068	-0.034638	0.141451	0.135653	0.142367	0.075837	0.160983	0.144808	0.146944	0.016632	
0.013275	0.023041	0.004730	0.004730	-0.005646	0.014191	-0.393225	-2.164187	3.252766	-0.394751	2.627756	1.374990	-0.094759	0.111849	0.107576	-0.156100	-0.016938	-0.050507	0.021820	0.022736	0.009308	0.017243	0.009613	0.005341	-4.583047	1.990845	1.648737	1.552911	1.407950	1.300832	0.001373	-0.038911	0.132601	0.126497	0.132296	0.066377	0.148775	0.136568	0.137789	0.010224	
0.011139	0.024872	0.003204	0.006867	-0.005646	0.014496	-0.395361	-2.164187	3.250324	-0.397192	2.625315	1.380484	-0.113375	0.098726	0.089570	-0.143282	-0.018158	-0.067903	0.023346	0.022126	0.005951	0.018463	0.004120	0.008392	-4.859541	1.995727	1.628290	1.524834	1.370718	1.255055	0.001373	-0.044099	0.121920	0.116732	0.123751	0.056916	0.140536	0.127413	0.128939	0.002289	
0.010224	0.025483	0.000763	0.010834	-0.007477	0.011139	-0.399329	-2.178225	3.250324	-0.395056	2.627756	1.380484	-0.106661	0.099641	0.096590	-0.138094	-0.009918	-0.072175	0.020600	0.019989	0.007477	0.013886	0.007477	0.008698	-5.040818	1.999390	1.614862	1.504997	1.343862	1.222400	0.001068	-0.050507	0.113069	0.108492	0.113680	0.047150	0.130465	0.117647	0.118563	-0.006867	
0.013886	0.025788	0.001373	0.010834	-0.002899	0.009308	-0.395056	-2.181277	3.248188	-0.397803	2.625925	1.382315	-0.100862	0.090486	0.090181	-0.132296	-0.011444	-0.055085	0.016632	0.014801	0.013581	0.019379	0.005035	0.009918	-5.119555	2.001526	1.607538	1.494926	1.328908	1.204395	0.000458	-0.054475	0.105745	0.099947	0.104829	0.039826	0.121920	0.109102	0.110628	-0.015106	
0.014496	0.019989	0.003204	0.009918	-0.003815	0.003510	-0.394141	-2.182498	3.247578	-0.396277	2.623178	1.379568	-0.101167	0.072480	0.085298	-0.127413	-0.013886	-0.059663	0.017548	0.017548	0.009613	0.018158	0.008087	0.008087	-5.109178	2.002136	1.609064	1.494926	1.327382	1.200427	0.000458	-0.059663	0.099336	0.092927	0.099031	0.032197	0.113680	0.099641	0.101472	-0.024872	
0.015106	0.017548	0.001373	0.007477	-0.005035	0.005951	-0.395972	-2.187991	3.245136	-0.394446	2.623789	1.377127	-0.099641	0.066987	0.097810	-0.139010	-0.009918	-0.084688	0.014496	0.019379	0.006256	0.019379	0.006867	0.006867	-5.028306	1.999084	1.614557	1.501335	1.334401	1.207446	0.000458	-0.062715	0.095979	0.088045	0.092622	0.026093	0.106661	0.093538	0.093843	-0.033112	
0.010834	0.021515	0.003510	0.008392	-0.003815	0.008698	-0.390784	-2.194400	3.249104	-0.396277	2.622568	1.385977	-0.117647	0.084688	0.098116	-0.154269	-0.016327	-0.081636	0.016632	0.020294	0.008698	0.018769	0.004120	0.006561	-4.905928	1.997559	1.623102	1.514153	1.350271	1.223316	0.000153	-0.065156	0.093538	0.084688	0.090181	0.021210	0.102693	0.087739	0.087739	-0.038911	
0.012665	0.024567	0.002289	0.007172	-0.005341	0.012970	-0.396582	-2.200809	3.246357	-0.393225	2.625010	1.387808	-0.131991	0.110018	0.111238	-0.169833	-0.018463	-0.071565	0.018463	0.023957	0.007782	0.016327	0.007782	0.010529	-4.739300	1.991760	1.633478	1.529107	1.368582	1.245899	0.001068	-0.066072	0.094453	0.084382	0.087129	0.018769	0.098116	0.082246	0.082246	-0.043793	
0.012665	0.025177	0.001678	0.007477	-0.006867	0.014191	-0.398718	-2.205386	3.245136	-0.394751	2.625010	1.387808	-0.128939	0.134432	0.137179	-0.204623	-0.023346	-0.074617	0.022126	0.025177	0.009003	0.016022	0.004425	0.008698	-4.559243	1.991150	1.647822	1.547723	1.391165	1.272755	0.000153	-0.066377	0.093538	0.084382	0.087434	0.018158	0.088960	0.074617	0.067292	-0.056306	
0.012055	0.023651	0.002899	0.006867	-0.005951	0.014191	-0.393835	-2.201419	3.244526	-0.393225	2.623484	1.390555	-0.132296	0.158846	0.156405	-0.247959	-0.040742	-0.079500	0.022126	0.019074	0.008087	0.016327	0.007172	0.012360	-4.405737	1.988098	1.658503	1.562982	1.411002	1.295644	-0.000153	-0.065461	0.095674	0.085603	0.087129	0.018463	0.100557	0.081636	0.083772	-0.047456	
0.010224	0.023041	0.000153	0.008698	-0.003510	0.010224	-0.394446	-2.213626	3.243000	-0.390478	2.620432	1.395438	-0.121309	0.205844	0.198520	-0.297704	-0.045624	-0.064546	0.020294	0.017243	0.005951	0.018769	0.004120	0.010834	-4.303502	1.988708	1.666438	1.573663	1.425650	1.314870	0.000763	-0.064546	0.098726	0.088045	0.089570	0.020294	0.098726	0.081941	0.079805	-0.049287	
0.012970	0.021515	0.000763	0.008087	-0.004730	0.006256	-0.393835	-2.218814	3.241779	-0.392615	2.620737	1.389944	-0.122530	0.248875	0.231174	-0.359045	-0.057221	-0.052033	0.017853	0.016022	0.010224	0.019074	0.002594	0.008087	-4.265660	1.987488	1.669795	1.578241	1.432364	1.323720	0.001068	-0.063630	0.099947	0.089265	0.090181	0.020294	0.097810	0.081331	0.080110	-0.048676	
