NO_OF_SAMPLES	2700
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:00:02	15838.71466643
FIRST_SAMPLE	2801
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.018463	0.020294	0.002594	0.003815	-0.003510	0.024872	-0.137484	-3.056840	3.814603	-0.390784	2.224308	1.219654	-0.073396	0.103914	0.095674	-0.042573	-0.004730	0.022126	0.015412	0.018158	0.009308	0.020600	0.006867	0.006867	-1.707637	-0.763409	-0.820478	-0.808576	-0.793011	-0.827802	-0.000458	-0.028229	0.198215	0.186618	0.187533	0.117952	0.197299	0.180209	0.179293	0.048981	
-0.015717	0.026093	0.003815	0.006561	-0.005951	0.026398	-0.131380	-3.059892	3.820401	-0.387121	2.224308	1.226062	-0.045624	0.113680	0.089265	-0.039521	-0.006867	0.009613	0.014496	0.023041	0.011749	0.017853	0.004425	0.005646	-1.830014	-0.791485	-0.841535	-0.820783	-0.799725	-0.828107	-0.001678	-0.027619	0.194858	0.184787	0.186618	0.115816	0.194858	0.177768	0.177462	0.046845	
-0.012970	0.027008	0.001373	0.009308	-0.007477	0.024872	-0.135042	-3.077287	3.820707	-0.386816	2.221561	1.236744	-0.041962	0.147555	0.080720	-0.030976	-0.012360	0.020600	0.015412	0.021820	0.010834	0.016632	0.005646	0.007477	-1.912413	-0.840925	-0.888838	-0.863813	-0.837263	-0.859541	-0.001068	-0.027924	0.193332	0.182345	0.184176	0.113985	0.192721	0.175326	0.174716	0.045319	
-0.016022	0.027008	0.000458	0.010834	-0.003204	0.025177	-0.131991	-3.086748	3.821317	-0.387121	2.227970	1.226978	-0.048981	0.162203	0.102998	-0.059968	-0.008087	0.024567	0.013581	0.021515	0.011139	0.018769	0.005341	0.008087	-1.940795	-0.856489	-0.909285	-0.885481	-0.861982	-0.884871	-0.001678	-0.027619	0.192111	0.180819	0.182345	0.112764	0.190890	0.174411	0.171969	0.043488	
-0.025177	0.024567	0.000458	0.011444	-0.003510	0.024872	-0.126497	-3.090105	3.825895	-0.386816	2.227054	1.233082	-0.066072	0.141756	0.111238	-0.052033	-0.018463	0.021210	0.014801	0.022126	0.011749	0.017243	0.005035	0.009003	-1.949950	-0.971847	-1.010910	-0.977035	-0.938888	-0.952621	-0.001068	-0.027314	0.191501	0.179904	0.180819	0.111238	0.188754	0.171664	0.170138	0.041047	
-0.026093	0.026398	0.001373	0.009918	-0.004425	0.027619	-0.130465	-3.105974	3.825895	-0.388037	2.226139	1.242847	-0.077058	0.168917	0.118868	-0.051118	-0.023957	0.019684	0.019379	0.019684	0.007172	0.019684	0.008087	0.007172	-1.965515	-1.078660	-1.115587	-1.079881	-1.035325	-1.045090	-0.001373	-0.028229	0.189364	0.178378	0.180209	0.109407	0.187533	0.170443	0.168612	0.039826	
-0.016327	0.026703	0.001984	0.007782	-0.005646	0.027924	-0.127108	-3.122149	3.827115	-0.385596	2.225833	1.239490	-0.063630	0.233310	0.139315	-0.074617	-0.021210	0.027924	0.018463	0.020905	0.005035	0.020600	0.004120	0.006867	-2.027466	-1.211719	-1.241932	-1.205005	-1.153735	-1.158312	-0.001678	-0.027619	0.187839	0.176242	0.176547	0.107271	0.185092	0.168917	0.165866	0.037079	
-0.006867	0.023651	0.000763	0.005035	-0.003815	0.029755	-0.125887	-3.124590	3.826810	-0.383764	2.224918	1.244984	-0.074006	0.243992	0.135958	-0.066682	-0.028840	0.032502	0.018769	0.018158	0.005341	0.016327	0.004425	0.011139	-2.113832	-1.269093	-1.307546	-1.277943	-1.233082	-1.245289	-0.001373	-0.028534	0.185092	0.174716	0.175326	0.104524	0.182040	0.166476	0.164950	0.035859	
-0.011444	0.023651	0.003510	0.004425	-0.002899	0.023651	-0.132601	-3.136187	3.827115	-0.384680	2.225528	1.240101	-0.096590	0.214389	0.145113	-0.076753	-0.027619	0.019379	0.016022	0.017548	0.009308	0.016938	0.006561	0.008087	-2.227970	-1.266346	-1.316701	-1.295338	-1.262989	-1.287099	-0.002594	-0.028534	0.181430	0.171359	0.172580	0.102998	0.172885	0.158236	0.149691	0.024567	
-0.018463	0.023957	0.001678	0.005646	-0.003204	0.021820	-0.124361	-3.149310	3.832303	-0.382849	2.226444	1.244678	-0.102998	0.210727	0.157015	-0.091707	-0.028840	0.006867	0.016327	0.018769	0.012665	0.019989	0.006561	0.009918	-2.361944	-1.202564	-1.265736	-1.252003	-1.237049	-1.271229	-0.001373	-0.028229	0.178073	0.167086	0.169528	0.100862	0.182650	0.164645	0.165560	0.033112	
-0.019989	0.021210	0.005951	0.006561	-0.004120	0.023041	-0.120394	-3.157855	3.829862	-0.384070	2.223697	1.258717	-0.101472	0.237583	0.146944	-0.073091	-0.027008	0.017243	0.015106	0.018463	0.008698	0.018463	0.005951	0.008087	-2.473640	-1.047837	-1.129931	-1.129320	-1.135119	-1.186389	-0.001678	-0.029450	0.175937	0.164034	0.167086	0.097810	0.177462	0.160677	0.160372	0.031586	
