NO_OF_SAMPLES	2700
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 11:58:34	15751.18278203
FIRST_SAMPLE	1991
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.014801	0.024872	0.003815	0.007172	-0.002594	0.026093	-0.630655	-2.632029	3.580835	-1.269703	4.098115	1.954528	-0.016327	0.117952	0.105135	-0.101778	-0.008087	0.023346	0.017243	0.020905	0.009308	0.019684	0.007477	0.009918	0.803082	-1.697566	-1.669490	-1.657588	-1.619440	-1.655146	-0.000763	-0.031891	0.184176	0.170443	0.171054	0.099031	0.168917	0.151827	0.143282	0.018158	
-0.016938	0.023651	0.002289	0.006256	-0.002899	0.024872	-0.630350	-2.639048	3.583276	-1.267262	4.103303	1.962463	-0.013581	0.128634	0.112459	-0.108492	-0.014191	0.021820	0.018158	0.019379	0.005341	0.015106	0.005035	0.009003	0.759136	-1.639582	-1.616693	-1.608454	-1.573968	-1.613947	-0.000763	-0.032197	0.183261	0.171359	0.172274	0.101472	0.182040	0.162203	0.162509	0.028534	
-0.016938	0.024262	0.001068	0.006561	-0.005341	0.026398	-0.632486	-2.646677	3.585717	-1.270314	4.104829	1.966430	-0.017548	0.161288	0.107881	-0.104829	-0.008087	0.027619	0.016632	0.022126	0.009003	0.018463	0.006256	0.008087	0.712139	-1.575189	-1.556573	-1.550164	-1.518120	-1.560845	-0.002289	-0.031586	0.187228	0.174411	0.174105	0.103304	0.181735	0.163119	0.161593	0.030365	
-0.019074	0.024262	0.000153	0.008087	-0.006256	0.022736	-0.629129	-2.657359	3.590906	-1.269093	4.107576	1.972839	-0.023651	0.171054	0.112459	-0.106661	-0.006256	0.030671	0.017548	0.020905	0.009308	0.016938	0.005341	0.008392	0.665446	-1.600519	-1.573968	-1.559014	-1.514763	-1.548943	-0.001068	-0.031281	0.188144	0.175937	0.175631	0.104219	0.181125	0.164340	0.160983	0.030671	
-0.016632	0.022126	0.001678	0.008392	-0.005646	0.024567	-0.627298	-2.667735	3.596094	-1.270619	4.111238	1.976501	-0.027008	0.146334	0.099031	-0.093843	-0.007477	0.028229	0.019074	0.019684	0.008698	0.016327	0.008392	0.009308	0.604105	-1.631342	-1.602655	-1.584344	-1.535821	-1.565118	-0.001068	-0.030976	0.188144	0.176547	0.176547	0.105135	0.181430	0.165255	0.161898	0.032502	
-0.015717	0.020905	0.002594	0.008087	-0.003815	0.023651	-0.629435	-2.677500	3.596399	-1.272450	4.111849	1.986267	-0.024567	0.118563	0.094148	-0.083772	-0.005646	0.017548	0.014191	0.019074	0.006867	0.016938	0.006561	0.009918	0.538491	-1.620050	-1.598383	-1.584039	-1.538872	-1.569085	-0.001984	-0.030365	0.189670	0.176852	0.177462	0.106050	0.182650	0.165560	0.162203	0.032807	
