NO_OF_SAMPLES	2850
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 11:52:38	15394.98746532
FIRST_SAMPLE	3461
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.024262	0.022431	0.002899	0.004425	-0.006561	0.027008	-0.448157	-2.340887	3.474327	1.743038	4.525368	2.396124	-0.049287	0.081025	0.067597	-0.029450	0.018463	0.013275	0.021210	0.017853	0.010834	0.019684	0.009308	0.005035	-5.105211	1.739376	1.406729	1.282826	1.114977	0.974594	0.003510	-0.086213	0.070649	0.059052	0.063325	-0.014496	0.072786	0.055390	0.054780	-0.074006	
-0.025177	0.024262	0.003815	0.007172	-0.005341	0.028534	-0.446632	-2.341802	3.473716	1.745785	4.527504	2.406195	-0.040131	0.085298	0.059358	-0.025483	0.014496	-0.001068	0.018158	0.017853	0.006561	0.019684	0.006867	0.005035	-5.219043	1.774777	1.434196	1.310903	1.145800	1.005722	0.002594	-0.086213	0.068513	0.059052	0.062409	-0.013275	0.071870	0.054780	0.053559	-0.074311	
-0.020905	0.024567	0.003204	0.006561	-0.003204	0.028840	-0.444190	-2.350347	3.470665	1.745479	4.524453	2.413519	-0.040436	0.100557	0.053559	-0.021210	0.010224	-0.000153	0.019684	0.016327	0.009918	0.018769	0.008392	0.003204	-5.331045	1.775998	1.428702	1.306020	1.143664	1.006943	0.003204	-0.088655	0.067597	0.056916	0.060883	-0.014496	0.070954	0.053254	0.052033	-0.076448	
-0.026398	0.023041	0.000458	0.011139	-0.003510	0.023651	-0.440528	-2.357366	3.477684	1.747616	4.525673	2.409247	-0.036164	0.102998	0.073091	-0.035859	0.015412	0.010224	0.017853	0.016632	0.012665	0.020600	0.008087	0.006561	-5.358816	1.754330	1.410697	1.288624	1.130541	0.995956	0.002899	-0.089265	0.064851	0.054475	0.059052	-0.016327	0.068818	0.052338	0.052033	-0.076753	
-0.030060	0.022736	-0.000458	0.009308	-0.003510	0.024567	-0.437476	-2.356146	3.480736	1.749752	4.525063	2.414435	-0.039216	0.096895	0.077363	-0.039521	0.011749	0.014191	0.021210	0.016938	0.008698	0.022126	0.006867	0.004425	-5.276722	1.726558	1.391470	1.273365	1.116808	0.985885	0.002899	-0.089876	0.065461	0.055390	0.058442	-0.017243	0.068208	0.051423	0.049287	-0.078279	
-0.031586	0.023651	0.002899	0.007477	-0.004120	0.026703	-0.436866	-2.363165	3.481041	1.750362	4.523842	2.418708	-0.054475	0.117342	0.085298	-0.042878	0.011139	-0.003510	0.020294	0.017853	0.008087	0.016327	0.009613	0.005646	-5.133593	1.666133	1.349355	1.240101	1.092393	0.967575	0.002594	-0.089876	0.067292	0.055085	0.058442	-0.018463	0.068513	0.050202	0.048371	-0.078584	
-0.021515	0.021515	0.004120	0.010224	-0.004730	0.028840	-0.433509	-2.371405	3.479210	1.751888	4.526589	2.422370	-0.056611	0.152743	0.101167	-0.057527	0.011139	-0.005035	0.021210	0.016327	0.008698	0.018158	0.010834	0.001373	-4.977951	1.622797	1.317922	1.215381	1.072862	0.952621	0.002289	-0.088350	0.068513	0.057527	0.060273	-0.016938	0.068818	0.051118	0.048066	-0.079805	
-0.019989	0.021820	0.005951	0.005341	-0.005341	0.030671	-0.431067	-2.375677	3.479820	1.751583	4.526589	2.431220	-0.059358	0.160372	0.101778	-0.053559	0.009003	0.007477	0.020905	0.013581	0.009003	0.018158	0.008087	0.005035	-4.881819	1.634089	1.333791	1.226978	1.081102	0.958724	0.002899	-0.087434	0.071565	0.059663	0.062104	-0.014496	0.070954	0.052033	0.049287	-0.078889	
-0.020600	0.019989	0.003815	0.002899	-0.001678	0.027314	-0.436866	-2.379950	3.479820	1.752499	4.526589	2.426642	-0.070039	0.157321	0.109712	-0.060273	0.008698	0.007782	0.020600	0.016022	0.009003	0.017548	0.008087	0.006561	-4.883955	1.693904	1.387198	1.273976	1.119554	0.990158	0.002899	-0.085908	0.072175	0.061799	0.063020	-0.014496	0.063630	0.047456	0.038605	-0.086519	
-0.024872	0.022126	0.003815	0.004730	0.000153	0.022126	-0.431678	-2.385138	3.482872	1.753414	4.529641	2.429694	-0.078279	0.164950	0.119478	-0.069734	0.009003	-0.011139	0.019379	0.014496	0.006561	0.020294	0.007172	0.005951	-4.983444	1.819333	1.488212	1.361257	1.193713	1.053025	0.002289	-0.085603	0.071565	0.060578	0.063935	-0.011139	0.077058	0.056001	0.058137	-0.074922	
-0.023346	0.019379	0.003510	0.004730	-0.004730	0.023957	-0.423438	-2.390326	3.481041	1.753719	4.527504	2.440986	-0.081331	0.174105	0.112459	-0.061494	0.005341	-0.015412	0.019074	0.017243	0.009308	0.018158	0.007782	0.004730	-5.128099	2.001831	1.638972	1.495842	1.310292	1.154650	0.002594	-0.086213	0.070649	0.060578	0.063935	-0.011444	0.074311	0.056306	0.056611	-0.072480	
