NO_OF_SAMPLES	2890
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 11:51:43	15339.78718448
FIRST_SAMPLE	3121
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.025177	0.019074	0.003204	0.007782	-0.004425	0.032502	-0.100862	-2.534066	3.218585	1.120470	1.374380	0.807355	-0.021210	0.072175	0.059663	-0.030365	-0.010224	0.026093	0.019989	0.020294	0.007477	0.017243	0.005951	0.006867	7.679103	-1.655146	-0.435645	-0.466773	-0.495766	-0.541543	-0.000458	-0.024567	0.182650	0.170443	0.171359	0.101167	0.169223	0.152132	0.142977	0.019684	
-0.025788	0.020600	0.001984	0.008392	-0.005035	0.029450	-0.098421	-2.539864	3.220722	1.118639	1.376211	0.808270	-0.015106	0.074006	0.059663	-0.032197	-0.005951	0.028229	0.017853	0.019074	0.006561	0.016327	0.005646	0.006867	7.392539	-1.551995	-0.429541	-0.455482	-0.477455	-0.515297	0.000763	-0.023651	0.184482	0.172274	0.173800	0.103914	0.183566	0.163729	0.164340	0.031891	
-0.027619	0.021820	0.005951	0.003815	-0.006867	0.028840	-0.101472	-2.547189	3.221637	1.118944	1.376822	0.809796	-0.014496	0.069734	0.051423	-0.023041	-0.005341	0.022736	0.018158	0.017853	0.008392	0.021820	0.005035	0.008087	7.030900	-1.355154	-0.431067	-0.451820	-0.467384	-0.502785	0.000153	-0.023346	0.187839	0.175326	0.176547	0.105745	0.182650	0.165866	0.163424	0.034333	
-0.026703	0.019989	0.004730	0.005341	-0.003815	0.027924	-0.099641	-2.555429	3.223163	1.120165	1.379263	0.808881	-0.019684	0.056306	0.046845	-0.013581	-0.003204	0.023041	0.021210	0.019684	0.006867	0.021210	0.005035	0.007782	6.700999	-1.213855	-0.469215	-0.481117	-0.487526	-0.513161	-0.001373	-0.022431	0.191806	0.178988	0.179904	0.108186	0.184176	0.167086	0.164034	0.036774	
-0.027008	0.021820	0.003510	0.007172	-0.004730	0.029450	-0.097810	-2.559701	3.227741	1.122911	1.377737	0.808270	-0.016632	0.048981	0.042878	-0.012055	0.002289	0.023957	0.016938	0.020905	0.005951	0.015106	0.006867	0.009613	6.399481	-1.076829	-0.478370	-0.487526	-0.490272	-0.518044	-0.001373	-0.021210	0.195468	0.181735	0.182040	0.111238	0.187533	0.169223	0.166476	0.038911	
-0.024872	0.020905	0.003510	0.010529	-0.005646	0.026703	-0.094453	-2.565194	3.229267	1.121386	1.377737	0.810712	-0.016327	0.056611	0.040436	-0.005646	0.000458	0.020905	0.020905	0.019684	0.004730	0.018158	0.005035	0.008698	6.111391	-0.948959	-0.469215	-0.477150	-0.478065	-0.507668	0.000763	-0.021210	0.197910	0.185397	0.185702	0.114290	0.189670	0.172580	0.168612	0.041047	
